"filename", "language", "Java", "comment", "blank", "total"
"/Users/AlessiaFrunza/UvA/P2_Software_Evolution/series1/Java_test/Long_file.java", "Java", 25, 1, 4, 30
"/Users/AlessiaFrunza/UvA/P2_Software_Evolution/series1/Java_test/Short_file.java", "Java", 6, 1, 1, 8
"Total", "-", 31, 2, 5, 38
